3,Bo,1,[1]
4,Ck,2,"[0, 2]"
4,Cs,2,"[1, 2]"
5,DkC,2,"[0, 2]"
5,Dk_,2,"[1, 3]"
5,Ds_,3,"[1, 2, 4]"
6,Eh_G,2,"[0, 2]"
6,Ei_G,3,"[0, 2, 3]"
6,Eia?,3,"[1, 3, 4]"
6,EkE?,2,"[1, 3]"
6,Eka?,3,"[1, 3, 4]"
6,Esa?,4,"[1, 2, 3, 4]"
7,Fh_GG,3,"[0, 2, 5]"
7,Fh_GO,3,"[1, 3, 5]"
7,Fh_K?,3,"[1, 3, 4]"
7,FiQ?G,4,"[0, 2, 3, 4]"
7,Fi_GO,4,"[0, 2, 4, 5]"
7,Fi_K?,3,"[1, 2, 4]"
7,FiaC?,4,"[1, 2, 4, 6]"
7,FkE?G,3,"[0, 1, 5]"
7,FkEC?,3,"[1, 3, 5]"
7,FkaC?,4,"[1, 3, 4, 6]"
7,FsaC?,5,"[1, 2, 3, 5, 6]"
8,GhE?GC,3,"[1, 3, 5]"
8,GhI?GC,3,"[0, 3, 6]"
8,GhI?GG,4,"[0, 3, 4, 7]"
8,GhQ?GC,3,"[0, 3, 6]"
8,GhQ?GG,4,"[0, 1, 2, 7]"
8,GhQ?K?,3,"[1, 2, 5]"
8,Gh_GK?,3,"[0, 1, 5]"
8,Gh_GOO,4,"[1, 4, 5, 6]"
8,Gh_GS?,3,"[0, 2, 5]"
8,Gh_K?C,3,"[0, 2, 4]"
8,Gh_KC?,4,"[0, 2, 5, 6]"
8,GiPC?C,5,"[0, 2, 3, 4, 5]"
8,GiQ?GG,5,"[0, 1, 2, 4, 6]"
8,GiQ?K?,4,"[1, 2, 3, 5]"
8,GiQCC?,5,"[1, 2, 3, 5, 7]"
8,Gi_GS?,4,"[0, 2, 5, 6]"
8,Gi_K?C,3,"[2, 4, 6]"
8,Gi_KC?,4,"[2, 4, 6, 7]"
8,GiaCC?,5,"[1, 2, 4, 5, 6]"
8,GkE?K?,3,"[1, 3, 5]"
8,GkECC?,4,"[1, 3, 5, 6]"
8,GkaCC?,5,"[1, 3, 4, 5, 6]"
8,GsaCC?,6,"[1, 2, 3, 4, 6, 7]"
9,HhE?GC@,4,"[0, 2, 6, 7]"
9,HhE?GCA,4,"[0, 2, 4, 7]"
9,HhE?GCC,4,"[0, 4, 7, 8]"
9,HhE?GE?,3,"[0, 2, 6]"
9,HhGc?C@,4,"[0, 3, 5, 7]"
9,HhHC?C@,4,"[1, 3, 4, 6]"
9,HhI?GCA,4,"[0, 2, 3, 7]"
9,HhI?GCC,4,"[0, 3, 4, 6]"
9,HhI?GE?,4,"[0, 2, 4, 5]"
9,HhI?GGC,5,"[1, 3, 6, 7, 8]"
9,HhI?GI?,4,"[0, 2, 3, 6]"
9,HhI?K?@,4,"[1, 3, 5, 7]"
9,HhI?KA?,5,"[0, 3, 5, 7, 8]"
9,HhOK?C@,4,"[2, 4, 6, 7]"
9,HhPC?C@,4,"[0, 2, 4, 8]"
9,HhQ?GCC,4,"[0, 1, 3, 7]"
9,HhQ?GE?,3,"[0, 2, 6]"
9,HhQ?GGC,5,"[0, 2, 4, 6, 7]"
9,HhQ?GI?,4,"[0, 2, 6, 7]"
9,HhQ?K?@,4,"[0, 2, 5, 7]"
9,HhQ?KA?,4,"[2, 4, 5, 7]"
9,Hh_GK?@,3,"[0, 2, 5]"
9,Hh_GKA?,4,"[0, 1, 5, 7]"
9,Hh_GOOG,5,"[1, 2, 5, 6, 8]"
9,Hh_GOQ?,4,"[0, 2, 5, 6]"
9,Hh_GS?@,4,"[3, 4, 5, 7]"
9,Hh_GSA?,4,"[0, 2, 5, 7]"
9,Hh_K?E?,4,"[0, 2, 5, 6]"
9,Hh_KCA?,5,"[1, 2, 4, 6, 7]"
9,HiPAC?@,6,"[0, 2, 3, 4, 5, 7]"
9,HiPC?CA,6,"[0, 1, 2, 3, 5, 7]"
9,HiPC?E?,5,"[2, 3, 5, 7, 8]"
9,HiQ?GGC,6,"[0, 2, 3, 5, 6, 8]"
9,HiQ?GI?,5,"[0, 2, 3, 4, 6]"
9,HiQ?K?@,4,"[2, 3, 5, 7]"
9,HiQ?KA?,5,"[2, 3, 4, 5, 7]"
9,HiQCCA?,6,"[0, 2, 4, 5, 6, 7]"
9,Hi_GS?@,4,"[2, 4, 6, 7]"
9,Hi_GSA?,5,"[0, 1, 2, 5, 7]"
9,Hi_K?E?,4,"[2, 3, 4, 6]"
9,Hi_KCA?,5,"[2, 4, 6, 7, 8]"
